"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q8,Q5";"SOT-23";2;"2N7002";;;
2;"R7,R12,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10";;;
3;"U7,U11,U9,U10,U8";"Molex_2x2_4.2mm";5;"~";;;
4;"R1,R18,R6,R2,R4,R5,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"10K";;;
5;"D4,D2";"LED_D5.0mm";2;"LED";;;
6;"D1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"D_Small";;;
7;"R8,R16,R13,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
8;"Q2,Q3,Q1";"SOT-23";3;"BSS138";;;
9;"R9,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
10;"Q6,Q7,Q4";"SOT-23";3;"AO3400A";;;
11;"U3";"Nucleo_F446RE";1;"~";;;
12;"D3";"D_5W_P10.16mm_Horizontal";1;"D_Small";;;
13;"U1";"W5500";1;"~";;;
14;"U5";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"R10,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"680";;;
16;"U2";"MAX485_Module";1;"~";;;
17;"K2,K1";"Relay_SPDT_Omron-G5LE-1";2;"G5LE-1";;;
18;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"1000uf";;;
19;"U4,U6";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";2;"~";;;
